"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ensembl_gene_id"	"chromosome_name"	"external_gene_name"	"padj"	"gene"
7.28628146701239	-9.97716799670215	0.242073522207382	0.812733503791731	0.999055673530808	-4.59530787995705	"ENSG00000109536"	NA	NA	0.999055673530808	NA
10.5050513734239	8.66807716193603	0.242009730776821	0.812781821819357	0.999055673530808	-4.59530788659587	"ENSG00000238098"	NA	NA	0.999055673530808	NA
15.3379591412539	-84.6724512384317	0.242006348123844	0.812784383990309	0.999055673530808	-4.59530788694786	"ENSG00000196776"	NA	NA	0.999055673530808	NA
8.72075074977241	3.05465533253845	0.241932741029484	0.812840137817752	0.999055673530808	-4.59530789460596	"ENSG00000164284"	NA	NA	0.999055673530808	NA
-7.18074858844165	0.403698619303387	-0.241931078152242	0.81284139737949	0.999055673530808	-4.59530789477894	"ENSG00000261701"	NA	NA	0.999055673530808	NA
-7.58437130760256	15.3407833750593	-0.241911200512638	0.812856453923586	0.999055673530808	-4.59530789684661	"ENSG00000254444"	NA	NA	0.999055673530808	NA
-11.4911687197861	7.5961667225273	-0.241903023382531	0.812862647806376	0.999055673530808	-4.59530789769714	"ENSG00000151704"	NA	NA	0.999055673530808	NA
-16.8236608247422	-102.936380145263	-0.241831807565402	0.812916591791381	0.999055673530808	-4.59530790510339	"ENSG00000168066"	NA	NA	0.999055673530808	NA
12.5676760937701	-56.215303013018	0.241829662003066	0.812918217010223	0.999055673530808	-4.59530790532649	"ENSG00000117713"	NA	NA	0.999055673530808	NA
-9.92576131513513	-80.722627684747	-0.241815074269999	0.812929266938673	0.999055673530808	-4.59530790684329	"ENSG00000100519"	NA	NA	0.999055673530808	NA
-11.8480550012976	-28.4521413127567	-0.241801706378715	0.812939392897178	0.999055673530808	-4.59530790823318	"ENSG00000168781"	NA	NA	0.999055673530808	NA
13.5826094001455	7.11380193509451	0.241700115748912	0.813016347285197	0.999055673530808	-4.59530791879333	"ENSG00000101003"	NA	NA	0.999055673530808	NA
15.2784497585571	110.593351605183	0.241684772082128	0.813027970211996	0.999055673530808	-4.5953079203879	"ENSG00000253452"	NA	NA	0.999055673530808	NA
-9.78559244477286	-6.57500161548441	-0.241684491700209	0.813028182603544	0.999055673530808	-4.59530792041704	"ENSG00000250075"	NA	NA	0.999055673530808	NA
31.6409769830751	18.5159606305538	0.241654395252107	0.813050980994016	0.999055673530808	-4.59530792354447	"ENSG00000186409"	NA	NA	0.999055673530808	NA
-6.09521625054925	-23.8085713570806	-0.241652809645441	0.813052182113457	0.999055673530808	-4.59530792370923	"ENSG00000100348"	NA	NA	0.999055673530808	NA
-22.4448451943659	12.4329322821824	-0.241643862199113	0.813058959939686	0.999055673530808	-4.59530792463891	"ENSG00000188659"	NA	NA	0.999055673530808	NA
-15.8766648875865	133.341153255213	-0.241637983696246	0.813063413003308	0.999055673530808	-4.59530792524969	"ENSG00000254361"	NA	NA	0.999055673530808	NA
36.8966520788192	392.394391062273	0.24160040857669	0.813091876941746	0.999055673530808	-4.59530792915347	"ENSG00000223523"	NA	NA	0.999055673530808	NA
10.2400508675441	7.03536672502244	0.241500778589841	0.813167350085816	0.999055673530808	-4.59530793950139	"ENSG00000185960"	NA	NA	0.999055673530808	NA
-11.346891713609	-58.6871330242498	-0.241349343699195	0.813282070971521	0.999055673530808	-4.59530795522194	"ENSG00000163950"	NA	NA	0.999055673530808	NA
-8.83908424539154	8.25812290554523	-0.241336110572635	0.813292096062025	0.999055673530808	-4.59530795659522	"ENSG00000101958"	NA	NA	0.999055673530808	NA
12.7673578027548	-9.29910486689199	0.241331411697208	0.81329565582252	0.999055673530808	-4.59530795708283	"ENSG00000198042"	NA	NA	0.999055673530808	NA
11.7798771309072	-48.4567601810591	0.24129985712106	0.813319560959903	0.999055673530808	-4.59530796035707	"ENSG00000167904"	NA	NA	0.999055673530808	NA
-5.58889619046155	3.91777157069822	-0.241246129827048	0.813360264170929	0.999055673530808	-4.59530796593109	"ENSG00000171604"	NA	NA	0.999055673530808	NA
19.3910863224004	2.18611113167397	0.241162842014356	0.813423363230682	0.999055673530808	-4.5953079745695	"ENSG00000107593"	NA	NA	0.999055673530808	NA
-5.17659137980115	0.907351881706824	-0.241110961271188	0.813462668904041	0.999055673530808	-4.59530797994896	"ENSG00000181830"	NA	NA	0.999055673530808	NA
7.51300804271633	-47.2168527580138	0.240993398795652	0.81355173805759	0.999055673530808	-4.5953079921347	"ENSG00000151327"	NA	NA	0.999055673530808	NA
9.97541119114067	-30.6835224530012	0.240973571382248	0.813566760218378	0.999055673530808	-4.5953079941893	"ENSG00000259546"	NA	NA	0.999055673530808	NA
22.6319623539755	-23.0680572444064	0.240915753047619	0.813610566490501	0.999055673530808	-4.59530800017974	"ENSG00000165304"	NA	NA	0.999055673530808	NA
-11.7036642148688	-8.05894876385364	-0.240827006709155	0.813677806755563	0.999055673530808	-4.59530800937182	"ENSG00000108819"	NA	NA	0.999055673530808	NA
